name,country,field,year
Doris Lessing, Iran, Literature, 2007
Shirin Ebadi, Iran, Peace, 2003
William C. Campbell, Ireland, Physiology or Medicine, 2015
John Hume, Ireland, Peace, 1998
Seamus Heaney, Ireland, Literature, 1995
Samuel Beckett, Ireland, Literature, 1969
Ernest Walton, Ireland, Physics, 1951
George Bernard Shaw, Ireland, Literature, 1925
W. B. Yeats, Ireland, Literature, 1923
Arieh Warshel, Israel, Chemistry, 2013
Michael Levitt, Israel, Chemistry, 2013
Dan Shechtman, Israel, Chemistry, 2011
Ada Yonath, Israel, Chemistry, 2009
Robert Aumann, Israel, Economics, 2005
Aaron Ciechanover, Israel, Chemistry, 2004
Daniel Kahneman, Israel, Economics, 2002
Yitzhak Rabin, Israel, Peace, 1994
Shmuel Yosef Agnon, Israel, Literature, 1966
Giosuè Carducci, Italy, Literature, 1906
Camillo Golgi, Italy, Physiology or Medicine, 1906
Ernesto Teodoro Moneta, Italy, Peace, 1907
Guglielmo Marconi, Italy, Physics, 1909
Grazia Deledda, Italy, Literature, 1926
Luigi Pirandello, Italy, Literature, 1934
Enrico Fermi, Italy, Physics, 1938
Daniel Bovet, Italy, Physiology or Medicine, 1957
Salvatore Quasimodo, Italy, Literature, 1959
Emilio Segrè, Italy, Physics, 1959
Giulio Natta, Italy, Chemistry, 1963
Salvador Luria, Italy, Physiology or Medicine, 1969
Renato Dulbecco, Italy, Physiology or Medicine, 1975
Eugenio Montale, Italy, Literature, 1975
Carlo Rubbia, Italy, Physics, 1984
Franco Modigliani, Italy, Economics, 1985
Rita Levi-Montalcini, Italy, Physiology or Medicine, 1986
Dario Fo, Italy, Literature, 1997
Riccardo Giacconi, Italy, Physics, 2002
Mario Capecchi, Italy, Physiology or Medicine, 2007
Yoshinori Ohsumi, Japan, Physiology or Medicine, 2016
Takaaki Kajita, Japan, Physics, 2015
Satoshi Ōmura, Japan, Physiology or Medicine, 2015
Shuji Nakamura, Japan, Physics, 2014
Hiroshi Amano, Japan, Physics, 2014
Isamu Akasaki, Japan, Physics, 2014
Shinya Yamanaka, Japan, Physiology or Medicine, 2012
Akira Suzuki, Japan, Chemistry, 2010
Osamu Shimomura, Japan, Chemistry, 2008
Toshihide Maskawa, Japan, Physics, 2008
Makoto Kobayashi, Japan, Physics, 2008
Yoichiro Nambu, Japan, Physics, 2008
Koichi Tanaka, Japan, Chemistry, 2002
Masatoshi Koshiba, Japan, Physics, 2002
Ryōji Noyori, Japan, Chemistry, 2001
Hideki Shirakawa, Japan, Chemistry, 2000
Kenzaburō Ōe, Japan, Literature, 1994
Susumu Tonegawa, Japan, Physiology or Medicine, 1987
Kenichi Fukui, Japan, Chemistry, 1981
Eisaku Satō, Japan, Peace, 1974
Leo Esaki, Japan, Physics, 1973
Yasunari Kawabata, Japan, Literature, 1968
Sin'ichirō Tomonaga, Japan, Physics, 1965
Hideki Yukawa, Japan, Physics, 1949
Wangari Maathai, Kenya, Peace, 2004
Ellen Johnson Sirleaf, Liberia, Peace, 2011
Leymah Gbowee, Liberia, Peace, 2011
Aaron Klug, Lithuania, Chemistry, 1982
Bernard Lown, Lithuania, Peace, 1985
Czesław Miłosz, Lithuania, Literature, 1980
Mario José Molina Henríquez, Mexico, Chemistry, 1995
Octavio Paz Lozano, Mexico, Literature, 1990
Alfonso García Robles, Mexico, Peace, 1982
Aung San Suu Kyi, Myanmar, Peace, 1991
Ben Feringa, Netherlands, Chemistry, 2016
Andre Geim, Netherlands, Physics, 2010
Martinus J. G. Veltman, Netherlands, Physics, 1999
Gerard 't Hooft, Netherlands, Physics, 1999
Simon van der Meer, Netherlands, Physics, 1984
Nicolaas Bloembergen, Netherlands, Physics, 1981
Tjalling Koopmans, Netherlands, Economics, 1975
Nikolaas Tinbergen, Netherlands, Physiology or Medicine, 1973
Jan Tinbergen, Netherlands, Economics, 1969
Frits Zernike, Netherlands, Physics, 1953
Peter Debye, Netherlands, Chemistry, 1936
